"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","28-May-2021","24-Jun-2021","PE","35000","940","984.85","820.2","907.15","856","907.15","30957","277944.81","7071.06","217275","-3850","35141.45"
"BANKNIFTY","31-May-2021","24-Jun-2021","PE","35000","886","975.5","690.45","706.4","713.9","706.4","22393","200373.31","4434.56","215875","-1400","-"
"BANKNIFTY","01-Jun-2021","24-Jun-2021","PE","35000","682.35","795.25","605.4","701.25","697","701.25","22207","198214.51","3903.26","245775","29900","-"
"BANKNIFTY","02-Jun-2021","24-Jun-2021","PE","35000","747.5","799.95","581.8","601.55","587.7","601.55","18375","164002.2","3220.95","235300","-10475","-"
"BANKNIFTY","03-Jun-2021","24-Jun-2021","PE","35000","486.5","564","447.15","484.85","489","484.85","19913","176748.22","2509.47","217500","-17800","-"
"BANKNIFTY","04-Jun-2021","24-Jun-2021","PE","35000","476.75","622.5","432","548.95","535","548.95","30948","274908.4","4113.4","235625","18125","-"
"BANKNIFTY","07-Jun-2021","24-Jun-2021","PE","35000","497.45","513.85","413.55","453.9","460","453.9","15877","140724.23","1800.48","255175","19550","-"
"BANKNIFTY","08-Jun-2021","24-Jun-2021","PE","35000","403.85","620.85","403.85","529.9","524.9","529.9","25625","227746.38","3527.63","266375","11200","-"
"BANKNIFTY","09-Jun-2021","24-Jun-2021","PE","35000","521.8","799.95","401","670.95","665","670.95","54779","487007.9","7691.65","302275","35900","-"
"BANKNIFTY","10-Jun-2021","24-Jun-2021","PE","35000","653.35","705.6","471","492.25","471","492.25","32510","289121.69","4659.19","314525","12250","-"
"BANKNIFTY","11-Jun-2021","24-Jun-2021","PE","35000","430","602.4","386.6","482","480","482","37710","334592.62","4630.12","334400","19875","-"
"BANKNIFTY","14-Jun-2021","24-Jun-2021","PE","35000","517.2","896.85","451.05","475.3","485","475.3","45596","405948.7","6983.7","308000","-26400","-"
"BANKNIFTY","15-Jun-2021","24-Jun-2021","PE","35000","452.5","507.2","310.1","330.05","340","330.05","54568","482347.3","4877.3","410850","102850","-"
"BANKNIFTY","16-Jun-2021","24-Jun-2021","PE","35000","340.15","459","286.75","414.65","425","414.65","88261","780734.27","8450.52","535450","124600","35003.5"
"BANKNIFTY","17-Jun-2021","24-Jun-2021","PE","35000","515","743.3","445.05","581.65","634.55","581.65","92372","821111.09","12856.09","431125","-104325","-"
"BANKNIFTY","18-Jun-2021","24-Jun-2021","PE","35000","490","1209.65","466.5","591.4","486.15","591.4","134605","1201978.49","24184.74","388175","-42950","34558"
"BANKNIFTY","21-Jun-2021","24-Jun-2021","PE","35000","716.25","1099.95","311.7","338.9","329","338.9","134434","1192854.25","16556.75","439150","50975","-"
"BANKNIFTY","22-Jun-2021","24-Jun-2021","PE","35000","187.75","409.75","134.1","363.05","380","363.05","1988272","17510021.78","112641.78","1066050","626900","-"
"BANKNIFTY","23-Jun-2021","24-Jun-2021","PE","35000","319","490","225.35","441.75","439.1","441.75","994679","8788636.49","85195.24","1352200","286150","34574"
"BANKNIFTY","24-Jun-2021","24-Jun-2021","PE","35000","440","466.95","85","178.25","172.6","34827","1353795","11915053.17","69346.92","242850","-1109350","34827"
