"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BANKNIFTY","28-May-2021","24-Jun-2021","35499","35670","35150","35321.8","35394.05","35321.8","151658","1340811.02","1745000","27775","      35141.45"
"BANKNIFTY","31-May-2021","24-Jun-2021","35280","35650","35063.15","35602.9","35578.25","35602.9","141916","1257088.18","1723450","-21550","-"
"BANKNIFTY","01-Jun-2021","24-Jun-2021","35677.95","35797.45","35313.95","35454.1","35470","35454.1","145631","1292727.92","1731125","7675","-"
"BANKNIFTY","02-Jun-2021","24-Jun-2021","35380","35560","35180","35524.25","35540","35524.25","113559","1003669.3","1700025","-31100","-"
"BANKNIFTY","03-Jun-2021","24-Jun-2021","35662.2","35890","35553","35781.95","35775","35781.95","121729","1086929.72","1690250","-9775","-"
"BANKNIFTY","04-Jun-2021","24-Jun-2021","35770","35960.8","35350","35508.5","35535","35508.5","151203","1346160.45","1810300","120050","-"
"BANKNIFTY","07-Jun-2021","24-Jun-2021","35540.05","35740","35494","35622.2","35598.05","35622.2","92848","827056.76","1754875","-55425","-"
"BANKNIFTY","08-Jun-2021","24-Jun-2021","35536.8","35569.8","35123","35265.3","35279","35265.3","127022","1120440.79","1773525","18650","-"
"BANKNIFTY","09-Jun-2021","24-Jun-2021","35281","35547.6","34757.65","34929.35","34935","34929.35","193763","1703972.59","1743550","-29975","-"
"BANKNIFTY","10-Jun-2021","24-Jun-2021","34980","35320","34830","35266.35","35300","35266.35","123151","1080081.38","1638025","-105525","-"
"BANKNIFTY","11-Jun-2021","24-Jun-2021","35420","35474.95","34977.7","35169.35","35164","35169.35","104004","915434.99","1677425","39400","-"
"BANKNIFTY","14-Jun-2021","24-Jun-2021","35024","35130","34455","35065.1","35049.85","35065.1","134201","1169043.31","1519975","-156850","-"
"BANKNIFTY","15-Jun-2021","24-Jun-2021","35035","35425.95","34960.6","35330.4","35296.05","35330.4","102335","902876.61","1488475","-31500","-"
"BANKNIFTY","16-Jun-2021","24-Jun-2021","35233","35463.9","35005","35101.35","35098.6","35101.35","113379","997851.64","1499825","11350","      35003.50"
"BANKNIFTY","17-Jun-2021","24-Jun-2021","34699.95","34970.05","34486.4","34682.2","34590","34682.2","135648","1178096.31","1485400","-14425","-"
"BANKNIFTY","18-Jun-2021","24-Jun-2021","34800","34837.85","33937","34596.75","34714","34596.75","173478","1491150.25","1430825","-54575","      34558.00"
"BANKNIFTY","21-Jun-2021","24-Jun-2021","34388","34949","33955.1","34911.1","34944.4","34911.1","154592","1333330.3","1349725","-81100","-"
"BANKNIFTY","22-Jun-2021","24-Jun-2021","35110","35286.75","34719.1","34775.8","34758.7","34775.8","149285","1307970.13","1079325","-270400","-"
"BANKNIFTY","23-Jun-2021","24-Jun-2021","34949.7","34972","34555.1","34611.9","34610","34611.9","128970","1120646.93","877850","-201475","      34574.00"
"BANKNIFTY","24-Jun-2021","24-Jun-2021","34699.25","34970","34579.3","34819.95","34825","34827","123271","1072745.01","365950","-511900","      34827.00"
